899,30,48,48,900
869,30,104,24,900
864,30,112,248,900
882,30,8,80,900
863,30,40,120,900
907,30,56,64,900
882,30,224,112,900
901,30,224,144,900
876,30,160,88,900
876,30,232,120,900
889,30,256,216,900
879,30,88,112,900
931,30,112,16,900
847,30,32,248,900
910,30,128,40,900
898,30,136,8,900
840,30,56,248,900
880,30,112,88,900
905,30,136,112,900
872,30,16,120,900
876,30,256,40,900
879,30,32,232,900
910,30,120,200,900
878,30,104,24,900
917,30,96,152,900
854,30,152,80,900
853,30,16,248,900
922,30,232,256,900
914,30,240,160,900
855,30,40,208,900
882,30,152,136,900
869,30,40,48,900
891,30,176,56,900
901,30,120,176,900
877,30,144,80,900
890,30,216,72,900
892,30,64,152,900
905,30,40,184,900
911,30,80,64,900
888,30,224,120,900
898,30,136,80,900
881,30,104,200,900
909,30,240,48,900
900,30,128,136,900
888,30,232,152,900
930,30,88,32,900
877,30,88,56,900
879,30,104,96,900
877,30,240,216,900
918,30,8,256,900
885,30,168,56,900
884,30,256,56,900
868,30,96,248,900
875,30,192,224,900
850,30,56,176,900
871,30,136,88,900
884,30,176,112,900
872,30,88,200,900
910,30,208,136,900
919,30,112,232,900
909,30,248,184,900
953,30,32,8,900
918,30,208,16,900
914,30,8,128,900
899,30,248,216,900
899,30,168,128,900
865,30,64,56,900
915,30,144,128,900
871,30,48,248,900
895,30,216,160,900
874,30,120,80,900
864,30,152,240,900
915,30,232,200,900
915,30,248,224,900
916,30,208,152,900
872,30,72,72,900
880,30,144,72,900
882,30,192,216,900
892,30,80,48,900
910,30,40,8,900
966,30,32,8,900
880,30,40,88,900
915,30,64,128,900
870,30,232,144,900
873,30,104,24,900
886,30,80,184,900
866,30,176,24,900
910,30,16,56,900
901,30,112,224,900
901,30,144,24,900
874,30,24,72,900
898,30,160,120,900
913,30,192,232,900
912,30,16,112,900
916,30,88,32,900
864,30,8,192,900
915,30,56,200,900
916,30,40,72,900
916,30,56,32,900
912,30,16,128,900
881,30,120,192,900
861,30,232,248,900
883,30,184,192,900
863,30,64,24,900
897,30,200,112,900
911,30,144,192,900
930,30,120,200,900
916,30,176,232,900
892,30,56,232,900
910,30,232,96,900
897,30,112,136,900
920,30,32,32,900
891,30,8,72,900
873,30,240,88,900
875,30,160,88,900
857,30,152,168,900
943,30,232,8,900
894,30,80,120,900
871,30,120,208,900
851,30,8,152,900
889,30,136,88,900
898,30,88,176,900
900,30,56,152,900
859,30,176,168,900
914,30,136,136,900
864,30,144,248,900
859,30,224,240,900
880,30,176,88,900
885,30,184,208,900
933,30,208,32,900
904,30,184,232,900
900,30,176,232,900
879,30,248,144,900
909,30,80,96,900
871,30,48,200,900
891,30,208,72,900
900,30,256,224,900
899,30,56,64,900
873,30,88,56,900
883,30,136,120,900
879,30,24,208,900
894,30,200,56,900
868,30,48,144,900
903,30,72,32,900
904,30,8,224,900
912,30,136,176,900
880,30,136,72,900
902,30,96,128,900
894,30,232,200,900
883,30,192,104,900
